,depth,temp,salinity,EC,EC25,Density,sigmaT,Chl-Flu,Chl-a,dakudo,DO%,DOmg,V,No
406,0.5,4.014,19.665,19.267,35792.312,1015.613,15.61,9.63,9.63,221.87,129.85,14.912,8.11,52.0
407,0.0,3.942,0.075,0.098,182.476,1000.036,0.036,6.28,6.28,7.5,132.41,17.344,8.17,53.0
408,0.1,4.001,0.075,0.098,181.668,1000.036,0.036,7.5,7.5,8.45,132.47,17.334,8.09,53.0
409,0.2,3.898,0.075,0.097,181.399,1000.036,0.035,12.85,12.85,11.17,132.67,17.404,8.09,53.0
410,0.3,3.796,0.075,0.098,183.266,1000.037,0.036,28.64,28.64,60.55,132.61,17.442,8.1,53.0
411,0.4,3.839,0.075,0.097,182.371,1000.037,0.035,40.62,40.62,166.37,132.19,17.354,8.09,53.0
412,0.5,3.828,0.075,0.098,182.85,1000.038,0.036,45.46,45.46,244.59,132.27,17.361,8.1,53.0
413,0.0,3.945,0.075,0.097,181.403,1000.035,0.035,6.57,6.57,7.22,132.19,17.314,8.18,54.0
414,0.1,3.954,0.075,0.097,181.505,1000.036,0.035,6.95,6.95,7.98,132.13,17.305,8.1,54.0
415,0.2,3.941,0.075,0.097,181.291,1000.036,0.035,8.71,8.71,9.22,132.19,17.318,8.1,54.0
416,0.3,3.892,0.075,0.097,181.584,1000.037,0.035,12.6,12.6,8.95,132.18,17.343,8.1,54.0
417,0.4,3.9,0.075,0.097,181.528,1000.037,0.035,14.5,14.5,8.92,131.84,17.291,8.07,54.0
418,0.5,3.932,0.075,0.098,181.99,1000.038,0.036,18.4,18.4,8.43,131.96,17.301,8.11,54.0
419,0.6,3.919,0.075,0.097,181.529,1000.038,0.035,18.8,18.8,8.5,132.02,17.313,8.08,54.0
420,0.7,3.898,0.074,0.097,180.846,1000.039,0.035,23.83,23.83,8.94,131.98,17.323,8.09,54.0
421,0.8,3.823,0.075,0.097,181.701,1000.039,0.035,32.33,32.33,22.67,131.86,17.337,8.09,54.0
422,0.0,4.038,0.075,0.098,181.061,1000.035,0.035,6.61,6.61,7.91,132.4,17.31,8.17,55.0
423,0.1,4.019,0.075,0.097,180.893,1000.036,0.035,7.14,7.14,8.05,132.45,17.318,8.1,55.0
424,0.2,4.028,0.075,0.098,181.064,1000.036,0.035,8.65,8.65,7.7,132.42,17.313,8.1,55.0
425,0.3,4.011,0.074,0.097,180.488,1000.037,0.035,11.46,11.46,7.98,132.56,17.344,8.09,55.0
426,0.4,3.976,0.075,0.098,181.484,1000.037,0.035,14.55,14.55,8.26,132.37,17.331,8.07,55.0
427,0.5,3.933,0.075,0.097,180.991,1000.038,0.035,17.62,17.62,7.73,132.39,17.342,8.09,55.0
428,0.6,3.951,0.075,0.097,181.075,1000.038,0.035,19.74,19.74,7.95,132.22,17.315,8.09,55.0
429,0.7,3.964,0.075,0.097,180.975,1000.039,0.035,22.43,22.43,8.63,132.4,17.337,8.09,55.0
430,0.8,3.903,0.075,0.097,181.429,1000.039,0.035,26.03,26.03,9.21,132.41,17.35,8.07,55.0
431,0.9,3.908,0.075,0.097,181.403,1000.04,0.035,31.14,31.14,20.36,132.3,17.343,8.08,55.0
432,0.0,4.203,0.075,0.098,180.64,1000.035,0.035,8.78,8.78,7.0,133.77,17.409,8.16,56.0
433,0.1,4.238,0.075,0.098,180.111,1000.035,0.035,15.37,15.37,9.08,134.0,17.421,8.08,56.0
434,0.2,4.226,0.075,0.098,180.167,1000.036,0.035,17.06,17.06,8.42,134.0,17.43,8.07,56.0
435,0.3,4.21,0.075,0.098,180.483,1000.036,0.035,18.05,18.05,7.92,133.93,17.419,8.09,56.0
436,0.4,4.223,0.075,0.098,180.463,1000.037,0.035,19.71,19.71,10.25,133.86,17.417,8.08,56.0
437,0.5,4.226,0.075,0.098,180.233,1000.037,0.035,23.3,23.3,26.52,133.88,17.414,8.08,56.0
438,0.6,4.156,0.075,0.098,180.773,1000.038,0.035,95.42,95.42,471.11,133.91,17.444,8.08,56.0
439,0.7,4.209,1.161,1.371,2526.658,1000.91,0.907,6.82,6.82,4.56,134.52,17.322,8.09,56.0
440,0.0,4.323,0.075,0.098,180.279,1000.034,0.034,8.68,8.68,6.95,134.32,17.429,8.17,57.0
441,0.1,4.314,0.075,0.098,180.141,1000.035,0.034,9.71,9.71,8.11,134.39,17.437,8.1,57.0
442,0.2,4.306,0.075,0.098,180.372,1000.035,0.034,9.93,9.93,8.32,134.3,17.427,8.09,57.0
443,0.3,4.309,0.075,0.098,180.039,1000.036,0.034,10.89,10.89,9.08,134.43,17.449,8.1,57.0
444,0.4,4.297,0.075,0.098,180.471,1000.037,0.035,13.67,13.67,13.5,134.35,17.437,8.07,57.0
445,0.5,4.236,0.074,0.097,179.42,1000.037,0.034,19.71,19.71,22.2,134.32,17.445,8.07,57.0
446,0.6,4.205,0.075,0.098,180.601,1000.038,0.035,22.43,22.43,36.57,134.09,17.44,8.07,57.0
447,0.7,4.216,0.075,0.098,179.961,1000.038,0.035,30.46,30.46,87.4,134.2,17.453,8.08,57.0
448,0.8,4.204,0.074,0.097,179.337,1000.038,0.034,37.95,37.95,101.28,134.31,17.493,8.07,57.0
449,0.9,4.265,0.012,0.016,30.167,999.989,-0.016,9.14,9.14,9.28,135.44,17.583,8.08,57.0
450,0.0,4.466,0.075,0.099,180.611,1000.034,0.034,7.24,7.24,7.98,135.63,17.525,8.17,58.0
451,0.1,4.385,0.075,0.099,180.487,1000.035,0.034,18.62,18.62,28.48,135.2,17.503,8.08,58.0
452,0.2,4.386,0.075,0.099,180.79,1000.035,0.034,13.58,13.58,16.51,135.18,17.499,8.07,58.0
453,0.3,4.406,0.075,0.099,180.575,1000.035,0.034,17.46,17.46,18.35,135.45,17.522,8.08,58.0
454,0.4,4.407,0.075,0.099,180.708,1000.036,0.034,15.84,15.84,16.53,135.36,17.518,8.08,58.0
455,0.5,4.391,0.075,0.099,180.452,1000.037,0.034,26.12,26.12,62.72,135.35,17.528,8.09,58.0
456,0.6,4.371,0.075,0.098,180.272,1000.037,0.034,29.98,29.98,67.07,135.31,17.536,8.08,58.0
457,0.7,4.341,0.074,0.098,179.531,1000.037,0.034,33.56,33.56,97.48,135.05,17.516,8.08,58.0
458,0.8,4.317,0.075,0.098,179.686,1000.038,0.034,31.11,31.11,77.62,135.09,17.531,8.08,58.0
459,0.9,4.302,0.074,0.098,179.397,1000.039,0.034,40.67,40.67,137.66,135.01,17.529,8.07,58.0
460,0.0,4.554,0.075,0.099,180.613,1000.033,0.033,8.44,8.44,7.64,136.08,17.552,8.16,59.0
461,0.1,4.504,0.075,0.099,180.698,1000.034,0.033,10.77,10.77,9.16,136.22,17.589,8.08,59.0
462,0.2,4.482,0.075,0.099,180.601,1000.035,0.034,14.62,14.62,9.18,136.17,17.593,8.08,59.0
463,0.3,4.472,0.075,0.099,180.647,1000.035,0.034,17.98,17.98,8.6,136.09,17.587,8.08,59.0
464,0.4,4.482,0.075,0.099,180.508,1000.035,0.033,20.56,20.56,8.7,136.09,17.593,8.09,59.0
465,0.5,4.475,0.075,0.099,180.448,1000.036,0.034,21.57,21.57,8.64,136.1,17.602,8.08,59.0
466,0.6,4.444,0.075,0.099,180.542,1000.037,0.034,22.91,22.91,9.84,135.91,17.584,8.08,59.0
467,0.7,4.434,0.075,0.099,180.072,1000.037,0.034,23.67,23.67,8.78,135.96,17.585,8.07,59.0
468,0.8,4.335,0.075,0.098,180.547,1000.038,0.034,23.96,23.96,8.84,135.94,17.629,8.08,59.0
469,0.9,4.291,0.075,0.098,180.081,1000.039,0.034,25.01,25.01,9.47,135.68,17.614,8.09,59.0
470,1.0,4.53,0.027,0.036,65.891,999.999,-0.006,10.06,10.06,7.71,136.06,17.57,8.08,59.0
471,0.0,4.532,0.075,0.099,180.277,1000.033,0.033,7.04,7.04,7.63,136.28,17.583,8.17,60.0
472,0.1,4.528,0.075,0.099,180.579,1000.034,0.033,7.59,7.59,8.39,136.21,17.576,8.08,60.0
473,0.2,4.529,0.075,0.099,180.064,1000.034,0.033,7.7,7.7,9.07,136.28,17.585,8.08,60.0
474,0.3,4.527,0.075,0.099,179.88,1000.034,0.033,11.29,11.29,9.62,136.17,17.57,8.09,60.0
475,0.4,4.513,0.075,0.099,180.59,1000.035,0.033,12.64,12.64,8.88,136.18,17.573,8.07,60.0
476,0.5,4.512,0.075,0.099,180.599,1000.036,0.033,14.61,14.61,9.18,136.24,17.585,8.08,60.0
477,0.6,4.489,0.075,0.098,179.321,1000.036,0.033,19.37,19.37,9.93,136.31,17.613,8.07,60.0
478,0.7,4.394,0.074,0.098,178.919,1000.037,0.034,22.74,22.74,9.18,136.32,17.667,8.08,60.0
479,0.8,4.279,0.074,0.098,179.572,1000.038,0.034,23.78,23.78,9.04,135.87,17.657,8.08,60.0
480,0.9,4.168,0.074,0.097,179.906,1000.039,0.035,24.93,24.93,8.91,135.53,17.658,8.08,60.0
481,1.0,4.113,0.074,0.097,179.755,1000.04,0.035,25.58,25.58,8.9,135.42,17.665,8.08,60.0
482,1.1,4.061,0.074,0.097,179.856,1000.04,0.035,26.44,26.44,9.19,135.31,17.673,8.08,60.0
483,1.2,4.009,0.074,0.097,179.309,1000.041,0.035,70.47,70.47,276.76,134.8,17.622,8.08,60.0
484,1.3,4.16,0.074,0.097,179.935,1000.041,0.035,85.08,85.08,327.8,135.62,17.661,8.09,60.0
485,0.0,4.4,0.075,0.099,180.309,1000.034,0.034,9.49,9.49,7.26,135.53,17.547,8.16,61.0
486,0.1,4.386,0.075,0.098,180.099,1000.034,0.034,9.08,9.08,9.25,135.58,17.558,8.07,61.0
487,0.2,4.385,0.075,0.099,180.499,1000.035,0.034,12.37,12.37,9.11,135.57,17.56,8.08,61.0
488,0.3,4.341,0.075,0.098,179.713,1000.036,0.034,18.22,18.22,10.5,135.77,17.61,8.08,61.0
489,0.4,4.307,0.075,0.098,180.13,1000.036,0.034,21.86,21.86,12.98,135.59,17.608,8.07,61.0
490,0.5,4.246,0.074,0.097,179.215,1000.037,0.034,25.37,25.37,24.83,135.46,17.63,8.07,61.0
491,0.6,4.158,0.074,0.097,179.94,1000.038,0.035,23.95,23.95,13.12,135.34,17.636,8.08,61.0
492,0.7,4.131,0.075,0.098,180.286,1000.038,0.035,25.79,25.79,24.39,135.04,17.618,8.07,61.0
493,0.0,4.381,0.075,0.099,180.421,1000.034,0.034,8.36,8.36,7.47,135.77,17.583,8.15,62.0
494,0.1,4.376,0.075,0.098,180.046,1000.034,0.034,10.35,10.35,8.4,135.7,17.579,8.1,62.0
495,0.2,4.382,0.075,0.099,180.343,1000.035,0.034,12.49,12.49,7.91,135.46,17.544,8.08,62.0
496,0.3,4.365,0.075,0.098,180.019,1000.036,0.034,14.9,14.9,8.52,135.42,17.55,8.07,62.0
497,0.4,4.359,0.075,0.098,180.018,1000.036,0.034,17.11,17.11,8.56,135.43,17.547,8.09,62.0
498,0.5,4.31,0.074,0.098,179.424,1000.037,0.034,22.21,22.21,8.63,135.42,17.555,8.08,62.0
499,0.6,4.276,0.075,0.098,179.805,1000.037,0.034,23.24,23.24,9.02,135.77,17.626,8.09,62.0
500,0.7,4.251,0.075,0.098,180.068,1000.038,0.035,23.87,23.87,9.22,135.17,17.569,8.07,62.0
501,0.8,4.201,0.074,0.098,179.94,1000.039,0.035,34.0,34.0,31.0,135.11,17.587,8.08,62.0
502,0.9,4.186,0.073,0.095,175.683,1000.038,0.033,114.9,114.9,688.69,135.49,17.643,8.07,62.0
503,0.0,4.34,0.075,0.098,179.787,1000.034,0.034,8.77,8.77,7.07,134.71,17.466,8.17,63.0
504,0.1,4.341,0.075,0.098,179.771,1000.035,0.034,9.93,9.93,8.88,134.59,17.453,8.08,63.0
505,0.2,4.337,0.075,0.098,179.774,1000.035,0.034,14.3,14.3,8.98,134.72,17.47,8.07,63.0
506,0.3,4.325,0.075,0.098,180.132,1000.036,0.034,16.07,16.07,8.5,134.58,17.455,8.08,63.0
507,0.4,4.32,0.075,0.098,179.852,1000.036,0.034,18.35,18.35,19.05,134.49,17.443,8.08,63.0
508,0.5,4.323,0.074,0.098,179.288,1000.036,0.034,26.25,26.25,48.11,134.53,17.451,8.07,63.0
509,0.6,4.313,0.074,0.098,179.016,1000.037,0.034,34.46,34.46,99.67,134.59,17.464,8.07,63.0
510,0.7,4.309,0.074,0.097,178.949,1000.037,0.034,33.31,33.31,100.16,134.71,17.483,8.07,63.0
511,0.0,4.423,0.075,0.098,179.459,1000.034,0.034,11.95,11.95,12.82,133.98,17.338,8.15,64.0
512,0.1,4.385,0.075,0.098,179.767,1000.034,0.034,19.67,19.67,17.09,134.24,17.389,8.07,64.0
513,0.2,4.377,0.075,0.098,179.548,1000.035,0.034,17.05,17.05,20.92,133.78,17.333,8.07,64.0
514,0.3,4.376,0.075,0.098,179.932,1000.035,0.034,20.84,20.84,28.23,134.09,17.37,8.08,64.0
515,0.4,4.367,0.074,0.098,179.276,1000.036,0.034,21.8,21.8,28.73,134.01,17.365,8.08,64.0
516,0.5,4.368,0.075,0.098,179.687,1000.036,0.034,26.81,26.81,31.19,133.92,17.352,8.07,64.0
517,0.6,4.348,0.074,0.098,179.419,1000.037,0.034,27.66,27.66,34.47,134.23,17.392,8.08,64.0
518,0.7,4.337,0.074,0.098,179.292,1000.037,0.034,32.17,32.17,58.38,133.72,17.342,8.07,64.0
519,0.0,4.356,0.074,0.098,179.421,1000.034,0.034,12.53,12.53,17.5,134.3,17.407,8.17,65.0
520,0.1,4.384,0.075,0.098,180.016,1000.034,0.034,11.18,11.18,8.61,134.26,17.387,8.07,65.0
521,0.2,4.391,0.075,0.098,180.174,1000.035,0.034,13.45,13.45,8.98,134.38,17.401,8.06,65.0
522,0.3,4.386,0.075,0.098,179.796,1000.035,0.034,18.49,18.49,9.19,134.19,17.379,8.06,65.0
523,0.4,4.369,0.075,0.098,179.85,1000.036,0.034,21.45,21.45,10.17,134.25,17.392,8.08,65.0
524,0.5,4.349,0.075,0.098,179.779,1000.037,0.034,23.5,23.5,10.04,134.2,17.409,8.07,65.0
525,0.6,4.284,0.074,0.097,179.053,1000.037,0.034,34.96,34.96,60.39,134.31,17.442,8.07,65.0
526,0.7,4.297,0.074,0.097,178.935,1000.037,0.034,39.17,39.17,115.32,133.99,17.399,8.07,65.0
527,0.0,4.681,0.075,0.1,180.361,1000.032,0.032,10.91,10.91,7.84,135.98,17.483,8.15,66.0
528,0.1,4.674,0.075,0.1,180.407,1000.032,0.032,14.28,14.28,9.36,136.24,17.513,8.07,66.0
529,0.2,4.674,0.075,0.1,180.139,1000.033,0.032,14.46,14.46,11.7,136.08,17.494,8.07,66.0
530,0.3,4.663,0.075,0.1,180.495,1000.033,0.032,12.88,12.88,10.87,136.33,17.526,8.06,66.0
531,0.4,4.667,0.075,0.099,180.018,1000.034,0.032,13.14,13.14,11.21,136.44,17.539,8.07,66.0
532,0.5,4.666,0.075,0.099,179.953,1000.034,0.032,13.61,13.61,13.19,136.45,17.541,8.08,66.0
533,0.6,4.667,0.075,0.1,180.324,1000.035,0.032,17.22,17.22,13.25,136.31,17.524,8.05,66.0
534,0.7,4.656,0.075,0.1,180.372,1000.035,0.032,20.07,20.07,10.28,136.27,17.521,8.07,66.0
535,0.8,4.644,0.075,0.099,179.88,1000.036,0.032,20.95,20.95,9.66,136.22,17.522,8.05,66.0
536,0.9,4.622,0.075,0.099,179.933,1000.037,0.032,26.18,26.18,15.98,136.18,17.521,8.07,66.0
537,0.0,4.683,0.075,0.1,180.556,1000.032,0.032,9.06,9.06,8.5,136.56,17.551,8.16,67.0
538,0.1,4.682,0.075,0.1,180.457,1000.032,0.032,9.88,9.88,8.25,136.39,17.53,8.08,67.0
539,0.2,4.692,0.075,0.1,180.79,1000.033,0.032,13.08,13.08,8.21,136.45,17.532,8.07,67.0
540,0.3,4.689,0.075,0.1,180.714,1000.033,0.032,14.03,14.03,9.67,136.58,17.549,8.07,67.0
541,0.4,4.68,0.075,0.1,180.195,1000.034,0.032,19.91,19.91,9.71,136.63,17.559,8.07,67.0
542,0.5,4.669,0.075,0.1,180.381,1000.034,0.032,21.03,21.03,9.25,136.66,17.564,8.07,67.0
543,0.6,4.671,0.075,0.1,180.29,1000.035,0.032,20.33,20.33,8.77,136.61,17.557,8.07,67.0
544,0.7,4.675,0.075,0.1,180.402,1000.035,0.032,21.4,21.4,9.15,136.56,17.559,8.06,67.0
545,0.8,4.646,0.075,0.1,180.303,1000.036,0.032,24.01,24.01,9.57,136.73,17.6,8.07,67.0
546,0.9,4.596,0.075,0.1,180.835,1000.037,0.033,25.19,25.19,10.42,136.62,17.607,8.07,67.0
547,1.0,4.563,0.075,0.1,181.013,1000.038,0.033,27.15,27.15,12.52,136.19,17.562,8.06,67.0
548,1.1,4.524,0.077,0.101,184.568,1000.04,0.035,181.35,181.35,822.32,136.44,17.606,8.08,67.0
549,0.0,4.64,0.075,0.1,180.754,1000.032,0.032,10.91,10.91,8.56,136.45,17.555,8.16,68.0
550,0.1,4.642,0.075,0.1,180.712,1000.033,0.032,8.91,8.91,8.16,136.25,17.529,8.05,68.0
551,0.2,4.633,0.075,0.1,180.809,1000.033,0.032,10.31,10.31,10.25,136.38,17.547,8.06,68.0
552,0.3,4.635,0.075,0.1,180.621,1000.034,0.032,16.06,16.06,9.21,136.44,17.556,8.07,68.0
553,0.4,4.632,0.075,0.1,180.614,1000.034,0.032,21.17,21.17,9.55,136.43,17.56,8.07,68.0
554,0.5,4.605,0.075,0.1,180.907,1000.035,0.033,21.12,21.12,10.01,136.45,17.571,8.07,68.0
555,0.6,4.61,0.075,0.099,180.425,1000.035,0.032,23.87,23.87,9.6,136.26,17.548,8.07,68.0
556,0.7,4.535,0.075,0.099,180.63,1000.037,0.033,24.75,24.75,8.94,136.48,17.612,8.09,68.0
557,0.8,4.454,0.075,0.099,181.151,1000.038,0.034,25.96,25.96,10.04,136.12,17.569,8.07,68.0
558,0.9,4.469,0.075,0.099,181.044,1000.038,0.034,32.16,32.16,19.38,136.37,17.609,8.06,68.0
559,1.0,4.567,0.109,0.142,258.431,1000.065,0.06,13.56,13.56,5.69,136.93,17.624,8.06,68.0
560,0.0,4.315,0.075,0.099,181.299,1000.035,0.035,12.78,12.78,7.52,134.64,17.458,8.15,69.0
561,0.1,4.293,0.075,0.098,180.611,1000.035,0.035,11.59,11.59,8.07,134.61,17.472,8.07,69.0
562,0.2,4.277,0.075,0.099,181.286,1000.036,0.035,20.97,20.97,9.09,134.7,17.499,8.06,69.0
563,0.3,4.309,0.075,0.099,180.935,1000.036,0.035,19.42,19.42,12.84,134.57,17.466,8.08,69.0
564,0.4,4.32,0.075,0.099,180.997,1000.037,0.035,20.14,20.14,10.89,134.69,17.476,8.07,69.0
565,0.5,4.313,0.075,0.098,180.56,1000.037,0.034,21.84,21.84,8.94,134.65,17.468,8.08,69.0
566,0.6,4.291,0.075,0.098,180.127,1000.037,0.034,22.11,22.11,8.71,134.77,17.497,8.08,69.0
567,0.7,4.268,0.075,0.098,180.744,1000.038,0.035,21.81,21.81,8.87,134.58,17.483,8.08,69.0
568,0.8,4.243,0.075,0.098,180.792,1000.039,0.035,29.11,29.11,20.33,134.58,17.488,8.05,69.0
569,0.9,4.241,0.075,0.098,181.09,1000.039,0.035,30.46,30.46,23.99,134.6,17.492,8.07,69.0
570,1.0,4.239,0.075,0.098,180.583,1000.04,0.035,71.03,71.03,186.72,134.54,17.483,8.08,69.0
571,1.1,4.275,0.075,0.098,180.409,1000.04,0.035,38.37,38.37,210.4,135.67,17.622,8.08,69.0
572,0.0,4.033,0.075,0.098,180.989,1000.035,0.035,7.79,7.79,6.86,133.18,17.4,8.15,70.0
573,0.1,4.044,0.075,0.098,181.091,1000.036,0.035,9.29,9.29,8.02,132.8,17.351,8.08,70.0
574,0.2,4.05,0.075,0.098,181.114,1000.036,0.035,13.39,13.39,8.26,132.92,17.365,8.05,70.0
575,0.3,4.055,0.075,0.098,181.247,1000.037,0.035,15.6,15.6,7.78,132.9,17.361,8.08,70.0
576,0.4,4.059,0.075,0.098,181.001,1000.037,0.035,15.56,15.56,7.9,132.74,17.337,8.07,70.0
577,0.5,4.062,0.075,0.098,181.056,1000.038,0.035,18.09,18.09,8.71,132.95,17.364,8.07,70.0
578,0.6,4.063,0.075,0.098,180.876,1000.038,0.035,21.3,21.3,7.88,132.98,17.367,8.05,70.0
579,0.7,4.069,0.075,0.097,180.695,1000.039,0.035,22.54,22.54,8.6,132.84,17.344,8.08,70.0
580,0.8,4.06,0.075,0.098,180.861,1000.039,0.035,23.45,23.45,8.6,132.9,17.361,8.04,70.0
581,0.9,4.054,0.075,0.098,181.36,1000.04,0.035,23.57,23.57,11.58,132.94,17.374,8.07,70.0
582,1.0,4.038,0.075,0.098,180.954,1000.04,0.035,86.56,86.56,307.08,132.92,17.36,8.07,70.0
583,1.1,4.038,0.049,0.065,119.716,1000.02,0.014,8.57,8.57,7.47,133.01,17.382,8.05,70.0
584,0.0,3.985,0.075,0.097,180.792,1000.035,0.035,10.35,10.35,7.08,132.59,17.351,8.15,71.0
585,0.1,3.99,0.075,0.097,181.273,1000.036,0.035,9.99,9.99,7.99,132.54,17.343,8.06,71.0
586,0.2,3.992,0.075,0.097,181.086,1000.036,0.035,11.45,11.45,8.08,132.47,17.334,8.06,71.0
587,0.3,3.989,0.075,0.097,181.036,1000.037,0.035,13.67,13.67,9.4,132.58,17.35,8.07,71.0
588,0.4,3.989,0.075,0.097,180.934,1000.037,0.035,18.63,18.63,8.3,132.54,17.343,8.07,71.0
589,0.5,3.976,0.075,0.097,180.92,1000.038,0.035,22.21,22.21,8.71,132.62,17.363,8.06,71.0
590,0.6,3.961,0.075,0.097,180.973,1000.038,0.035,23.94,23.94,9.07,132.72,17.387,8.07,71.0
591,0.7,3.949,0.075,0.097,180.987,1000.039,0.035,25.79,25.79,8.56,132.43,17.348,8.06,71.0
592,0.8,3.942,0.075,0.097,181.278,1000.039,0.035,25.49,25.49,9.38,132.42,17.357,8.07,71.0
593,0.9,3.929,0.075,0.097,181.434,1000.04,0.035,45.22,45.22,35.31,132.43,17.36,8.07,71.0
594,0.0,3.925,0.075,0.097,181.518,1000.035,0.035,12.71,12.71,7.8,132.77,17.404,8.17,72.0
595,0.1,3.915,0.075,0.097,181.647,1000.036,0.035,14.8,14.8,7.76,132.69,17.397,8.12,72.0
596,0.2,3.907,0.075,0.098,182.31,1000.037,0.036,18.01,18.01,8.08,132.72,17.409,8.07,72.0
597,0.3,3.901,0.075,0.098,182.573,1000.037,0.036,21.01,21.01,8.15,132.74,17.41,8.07,72.0
598,0.4,3.908,0.075,0.098,181.994,1000.038,0.036,28.15,28.15,36.09,132.88,17.428,8.07,72.0
599,0.5,3.897,0.075,0.098,182.667,1000.038,0.036,33.47,33.47,47.57,132.64,17.398,8.05,72.0
600,0.6,3.875,0.075,0.098,183.028,1000.039,0.036,26.61,26.61,16.34,132.87,17.44,8.07,72.0
601,0.7,3.865,0.076,0.098,183.501,1000.039,0.036,44.61,44.61,77.46,132.73,17.424,8.07,72.0
602,0.0,3.798,41.206,37.486,70255.7,1032.755,32.755,-0.02,-0.02,0.0,97.29,9.598,8.15,73.0
603,0.1,4.752,0.075,0.1,180.29,1000.031,0.031,12.2,12.2,7.49,129.55,16.626,8.06,73.0
604,0.2,4.758,0.075,0.1,179.837,1000.032,0.031,14.21,14.21,7.12,131.64,16.889,8.07,73.0
605,0.3,4.722,0.075,0.1,180.036,1000.033,0.031,18.77,18.77,11.38,133.4,17.138,8.07,73.0
606,0.4,4.59,0.075,0.099,180.396,1000.035,0.033,54.99,54.99,840.12,135.16,17.493,8.07,73.0
